date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:25:41	200/200	---MCZ	200	added ('OK')	text/plain	etag:W/%2258eb7605-17a%22	https://www.weezbe.com/robots.txt		(from )
00:25:42	33275/33275	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Oct%202018%2007:33:22%20GMT	https://www.weezbe.com/	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/index.html	(from )
00:25:42	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2022%20Oct%202018%2022:25:43%20GMT	https://www.weezbe.com/xmlrpc.php	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/xmlrpc.php	(from https://www.weezbe.com/)
00:25:43	2584/2584	---M--	200	added ('OK')	image/png	etag:%225b92845a-a18%22	https://www.weezbe.com/wp-content/themes/weezbe/images/solution-ecommerce-gratuite.png	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/wp-content/themes/weezbe/images/solution-ecommerce-gratuite.png	(from https://www.weezbe.com/)
00:25:45	43233/43233	---MC-	200	added ('OK')	text/javascript	date:Thu,%2011%20Oct%202018%2019:41:26%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/camara/Desktop/laby/ecommerce/www.google-analytics.com/analytics.js	(from https://www.weezbe.com/)
00:25:45	49527/49527	---M-Z	200	added ('OK')	application/rss+xml	etag:%2234de35707ac2d39514d688fa8dd114a9%22	https://www.weezbe.com/feed/	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/feed/index.html	(from https://www.weezbe.com/)
00:25:45	12520/12520	---M-Z	200	added ('OK')	application/rss+xml	etag:%2271c25707ab27be329d6846b5cf113d3e%22	https://www.weezbe.com/comments/feed/	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/comments/feed/index.html	(from https://www.weezbe.com/)
00:25:45	38684/38684	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Oct%202018%2022:25:44%20GMT	https://www.weezbe.com/linkid.js	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/linkid.js	(from https://www.weezbe.com/)
00:25:46	46360/46360	---MCZ	200	added ('OK')	text/css	etag:W/%225a297374-b518%22	https://www.weezbe.com/wp-includes/css/dashicons.min.css?ver=4.9.8	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/wp-includes/css/dashicons.min5010.css	(from https://www.weezbe.com/)
00:25:46	182625/182625	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20Sep%202018%2014:43:53%20GMT	https://www.weezbe.com/wp-content/plugins/bwp-minify/min/?f=wp-content/plugins/contact-form-7/includes/css/styles.css,wp-content/themes/weezbe/slick.css,wp-content/themes/weezbe/slick-theme.css,wp-content/themes/weezbe/style.css,wp-content/plugins/jetpack/modules/subscriptions/subscriptions.css,wp-content/plugins/jetpack/modules/widgets/social-icons/social-icons.css,wp-content/plugins/jetpack/css/jetpack.css	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/wp-content/plugins/bwp-minify/min/index82ef.html	(from https://www.weezbe.com/)
